Thu Dec 21 11:35:20 2023    profile_results.prof

         573283 function calls (552838 primitive calls) in 17.231 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       60    0.000    0.000    0.002    0.000 request.py:2654(getproxies_registry)
   300/40    0.000    0.000    0.001    0.000 customfunction.py:160(CountNode)
     1050    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      120    0.000    0.000    0.000    0.000 discovery.py:802(_fix_up_media_upload)
       30    0.000    0.000    0.008    0.000 client.py:952(close)
       60    0.000    0.000    0.012    0.000 feedparser.py:178(_call_parse)
      120    0.000    0.000    0.000    0.000 timeout.py:102(__init__)
       30    0.000    0.000    0.001    0.000 client.py:249(__init__)
       30    0.000    0.000    0.001    0.000 common.py:224(asarray_tuplesafe)
       30    0.000    0.000    0.050    0.002 sessions.py:273(rebuild_proxies)
      480    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       30    0.000    0.000    0.000    0.000 {method 'setsockopt' of '_socket.socket' objects}
      540    0.000    0.000    0.000    0.000 connection.py:223(<genexpr>)
       30    0.000    0.000    0.058    0.002 sessions.py:744(close)
       60    0.000    0.000    0.000    0.000 message.py:120(__init__)
      140    0.000    0.000    0.000    0.000 common.py:1578(_is_dtype_type)
       90    0.000    0.000    0.000    0.000 url.py:91(__new__)
       10    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      270    0.000    0.000    0.000    0.000 client.py:1283(<genexpr>)
      420    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       90    0.000    0.000    0.002    0.000 message.py:588(get_content_maintype)
      120    0.000    0.000    0.008    0.000 genericpath.py:16(exists)
       30    0.000    0.000    0.035    0.001 sessions.py:701(merge_environment_settings)
       10    0.000    0.000    0.002    0.000 cast.py:1790(find_common_type)
       40    0.000    0.000    0.001    0.000 generic.py:5489(__setattr__)
       60    0.000    0.000    0.047    0.001 discovery.py:1495(methodResource)
       30    0.000    0.000    0.001    0.000 message.py:213(get_payload)
      240    0.000    0.000    0.000    0.000 {method 'subn' of 're.Pattern' objects}
       30    0.000    0.000    0.011    0.000 3512256905.py:1(maskClouds)
       60    0.000    0.000    0.004    0.000 client.py:966(send)
   170/20    0.000    0.000    0.001    0.000 customfunction.py:157(CountNodes)
       93    0.000    0.000    0.023    0.000 response.py:555(stream)
       30    0.000    0.000    0.001    0.000 response.py:369(_init_decoder)
      300    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
      450    0.000    0.000    0.000    0.000 _collections_abc.py:802(__init__)
       60    0.000    0.000    0.023    0.000 customfunction.py:58(encode_cloud_value)
       60    0.000    0.000    0.000    0.000 poolmanager.py:170(__init__)
    90/60    0.000    0.000    0.043    0.001 apifunction.py:70(call_)
      580    0.000    0.000    0.000    0.000 apifunction.py:156(initialize)
      930    0.000    0.000    0.000    0.000 parse.py:103(_noop)
      120    0.000    0.000    0.001    0.000 contextlib.py:261(helper)
       30    0.000    0.000    0.000    0.000 variable.py:79(parse)
       20    0.000    0.000    0.001    0.000 inspect.py:2244(_signature_from_callable)
